,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
180,2,3:09.0,Z. Randolph misses 2-pt jump shot from 6 ft,,43,39
181,2,3:07.0,,Defensive rebound by L. Aldridge,43,39
182,2,2:59.0,,L. Aldridge misses 3-pt jump shot from 24 ft,43,39
183,2,2:58.0,Defensive rebound by Q. Pondexter,,43,39
184,2,2:39.0,Z. Randolph misses 2-pt jump shot from 5 ft (block by L. Aldridge),,43,39
185,2,2:37.0,Offensive rebound by Q. Pondexter,,43,39
186,2,2:36.0,Q. Pondexter makes 2-pt jump shot from 7 ft,,45,39
187,2,2:12.0,,N. Batum misses 2-pt jump shot from 22 ft,45,39
188,2,2:12.0,,Offensive rebound by Team,45,39
189,2,2:12.0,Loose ball foul by M. Gasol (drawn by R. Lopez),,45,39
190,2,2:05.0,,R. Lopez misses 2-pt layup at rim,45,39
191,2,2:04.0,,Offensive rebound by R. Lopez,45,39
192,2,2:04.0,,R. Lopez makes 2-pt tip-in at rim,45,41
193,2,1:41.0,Turnover by M. Gasol (lost ball; steal by L. Aldridge),,45,41
194,2,1:37.0,,L. Aldridge makes 2-pt dunk at rim (assist by D. Lillard),45,43
195,2,1:10.0,Q. Pondexter makes 3-pt jump shot from 22 ft (assist by M. Gasol),,48,43
196,2,0:56.0,,N. Batum misses 3-pt jump shot from 25 ft,48,43
197,2,0:55.0,Defensive rebound by Z. Randolph,,48,43
198,2,0:47.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),,50,43
199,2,0:32.0,,L. Aldridge misses 2-pt jump shot from 13 ft,50,43
200,2,0:31.0,Defensive rebound by Q. Pondexter,,50,43
201,2,0:12.0,M. Conley makes 2-pt jump shot from 11 ft,,52,43
202,2,0:06.0,,W. Matthews misses 3-pt jump shot from 22 ft,52,43
203,2,0:00.0,Defensive rebound by Z. Randolph,,52,43
204,3,11:41.0,M. Gasol misses 2-pt jump shot from 18 ft,,52,43
205,3,11:40.0,,Defensive rebound by D. Lillard,52,43
206,3,11:34.0,,N. Batum misses 3-pt jump shot from 22 ft,52,43
207,3,11:33.0,Defensive rebound by Z. Randolph,,52,43
208,3,11:17.0,M. Gasol misses 2-pt jump shot at rim,,52,43
209,3,11:16.0,Offensive rebound by M. Gasol,,52,43
210,3,11:16.0,M. Gasol makes 2-pt tip-in at rim,,54,43
211,3,11:07.0,,Personal foul by T. Allen (drawn by N. Batum),54,43
212,3,10:59.0,,R. Lopez makes 2-pt dunk at rim (assist by D. Lillard),54,45
213,3,10:48.0,M. Conley misses 2-pt jump shot from 17 ft,,54,45
214,3,10:46.0,,Defensive rebound by R. Lopez,54,45
215,3,10:27.0,,L. Aldridge makes 2-pt jump shot from 12 ft,54,47
216,3,10:00.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,54,47
217,3,10:00.0,M. Gasol makes free throw 1 of 2,,55,47
218,3,10:00.0,M. Gasol makes free throw 2 of 2,,56,47
219,3,9:42.0,,Turnover by L. Aldridge (lost ball; steal by Z. Randolph),56,47
220,3,9:36.0,C. Lee makes 3-pt jump shot from 22 ft (assist by M. Conley),,59,47
221,3,9:24.0,,Turnover by D. Lillard (bad pass; steal by T. Allen),59,47
222,3,9:20.0,T. Allen misses 2-pt layup from 1 ft (block by N. Batum),,59,47
223,3,9:18.0,Offensive rebound by M. Conley,,59,47
224,3,9:17.0,M. Conley makes 2-pt layup from 1 ft,,61,47
225,3,9:07.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by N. Batum),61,50
226,3,8:47.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by C. Lee),,63,50
227,3,8:27.0,,D. Lillard misses 3-pt jump shot from 25 ft,63,50
228,3,8:27.0,,Offensive rebound by R. Lopez,63,50
229,3,8:27.0,,R. Lopez misses 2-pt tip-in from 1 ft,63,50
