,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
123,2,9:09.0,J. Jerebko misses 3-pt jump shot from 24 ft,,25,18
124,2,9:08.0,,Defensive rebound by C. Watson,25,18
125,2,9:00.0,,Personal foul by J. Jerebko (drawn by I. Mahinmi),25,18
126,2,8:55.0,,Turnover by I. Mahinmi (bad pass),25,18
127,2,8:55.0,Official timeout,,25,18
128,2,8:44.0,L. Datome makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,28,18
129,2,8:20.0,,R. Stuckey makes 2-pt jump shot from 13 ft,28,20
130,2,8:03.0,Personal block foul by I. Mahinmi (drawn by P. Pressey),,28,20
131,2,8:03.0,,R. Hibbert enters the game for I. Mahinmi,28,20
132,2,7:56.0,J. Crowder misses 2-pt jump shot from 9 ft,,28,20
133,2,7:55.0,,Defensive rebound by Team,28,20
134,2,7:42.0,,R. Hibbert misses 2-pt jump shot from 19 ft,28,20
135,2,7:41.0,Defensive rebound by J. Jerebko,,28,20
136,2,7:28.0,J. Crowder makes 2-pt layup from 1 ft (assist by L. Datome),,30,20
137,2,7:13.0,,Turnover by R. Stuckey (lost ball; steal by J. Crowder),30,20
138,2,7:08.0,J. Crowder makes 2-pt layup from 1 ft (assist by P. Pressey),,32,20
139,2,7:08.0,,Indiana full timeout,32,20
140,2,7:08.0,A. Bradley enters the game for P. Pressey,,32,20
141,2,7:08.0,M. Smart enters the game for J. Crowder,,32,20
142,2,6:56.0,,L. Scola makes 2-pt layup from 2 ft,32,22
143,2,6:40.0,A. Bradley misses 3-pt jump shot from 23 ft,,32,22
144,2,6:39.0,,Defensive rebound by Team,32,22
145,2,6:39.0,Loose ball foul by M. Smart (drawn by R. Hibbert),,32,22
146,2,6:29.0,,Shooting foul by L. Datome (drawn by C. Watson),32,22
147,2,6:29.0,,C. Watson makes free throw 1 of 2,32,23
148,2,6:29.0,,C. Watson makes free throw 2 of 2,32,24
149,2,6:21.0,Personal foul by C. Watson (drawn by M. Smart),,32,24
150,2,6:21.0,E. Turner enters the game for L. Datome,,32,24
151,2,6:21.0,,G. Hill enters the game for C. Watson,32,24
152,2,6:12.0,T. Zeller makes 2-pt jump shot from 16 ft (assist by E. Turner),,34,24
153,2,6:00.0,,Offensive foul by D. Rudež (drawn by T. Zeller),34,24
154,2,6:00.0,,Turnover by D. Rudež (offensive foul),34,24
155,2,6:00.0,,S. Hill enters the game for D. Rudež,34,24
156,2,5:45.0,E. Turner misses 2-pt jump shot from 10 ft,,34,24
157,2,5:44.0,,Defensive rebound by Team,34,24
158,2,5:28.0,,Turnover by G. Hill (bad pass; steal by M. Smart),34,24
159,2,5:25.0,A. Bradley misses 2-pt layup from 2 ft (block by R. Stuckey),,34,24
160,2,5:22.0,,Defensive rebound by L. Scola,34,24
161,2,5:03.0,,G. Hill makes 2-pt jump shot from 12 ft,34,26
162,2,4:44.0,A. Bradley misses 2-pt jump shot from 21 ft,,34,26
163,2,4:44.0,,Defensive rebound by L. Scola,34,26
164,2,4:34.0,,L. Scola misses 2-pt jump shot from 19 ft,34,26
165,2,4:33.0,Defensive rebound by A. Bradley,,34,26
166,2,4:26.0,T. Zeller makes 2-pt layup from 1 ft (assist by J. Jerebko),,36,26
167,2,4:04.0,,L. Scola misses 2-pt jump shot from 10 ft,36,26
168,2,4:03.0,Defensive rebound by T. Zeller,,36,26
169,2,3:51.0,M. Smart makes 3-pt jump shot from 23 ft (assist by J. Jerebko),,39,26
170,2,3:50.0,,Indiana full timeout,39,26
171,2,3:50.0,,D. West enters the game for L. Scola,39,26
172,2,3:50.0,,C. Miles enters the game for R. Stuckey,39,26
173,2,3:50.0,B. Bass enters the game for J. Jerebko,,39,26
174,2,3:37.0,,G. Hill misses 3-pt jump shot from 23 ft,39,26
175,2,3:36.0,Defensive rebound by T. Zeller,,39,26
176,2,3:24.0,T. Zeller makes 2-pt jump shot from 17 ft (assist by A. Bradley),,41,26
177,2,3:02.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by G. Hill),41,29
178,2,2:45.0,A. Bradley makes 2-pt jump shot from 19 ft,,43,29
179,2,2:29.0,,C. Miles makes 2-pt jump shot from 16 ft (assist by S. Hill),43,31
180,2,2:14.0,B. Bass misses 2-pt jump shot from 16 ft,,43,31
181,2,2:13.0,,Defensive rebound by D. West,43,31
182,2,2:01.0,,R. Hibbert makes 2-pt hook shot from 4 ft,43,33
183,2,2:00.0,Boston full timeout,,43,33
184,2,2:00.0,K. Olynyk enters the game for T. Zeller,,43,33
185,2,2:00.0,J. Crowder enters the game for E. Turner,,43,33
186,2,2:00.0,,R. Stuckey enters the game for S. Hill,43,33
187,2,1:49.0,B. Bass makes 2-pt jump shot from 19 ft (assist by K. Olynyk),,45,33
188,2,1:37.0,,Personal foul by K. Olynyk (drawn by D. West),45,33
189,2,1:37.0,,D. West makes free throw 1 of 2,45,34
190,2,1:37.0,,D. West makes free throw 2 of 2,45,35
191,2,1:19.0,J. Crowder misses 3-pt jump shot from 22 ft,,45,35
192,2,1:18.0,,Defensive rebound by R. Hibbert,45,35
193,2,1:09.0,,Turnover by R. Stuckey (lost ball; steal by M. Smart),45,35
194,2,1:07.0,Shooting foul by R. Stuckey (drawn by M. Smart),,45,35
195,2,1:07.0,M. Smart misses free throw 1 of 2,,45,35
196,2,1:07.0,Offensive rebound by Team,,45,35
197,2,1:07.0,T. Zeller enters the game for K. Olynyk,,45,35
198,2,1:07.0,M. Smart misses free throw 2 of 2,,45,35
199,2,1:06.0,,Defensive rebound by R. Hibbert,45,35
200,2,0:52.0,,C. Miles misses 2-pt jump shot from 18 ft,45,35
201,2,0:51.0,Defensive rebound by M. Smart,,45,35
202,2,0:40.0,J. Crowder misses 2-pt jump shot from 16 ft,,45,35
203,2,0:38.0,,Defensive rebound by R. Stuckey,45,35
204,2,0:34.0,,R. Stuckey makes 2-pt layup from 2 ft,45,37
205,2,0:34.0,,Shooting foul by A. Bradley (drawn by R. Stuckey),45,37
206,2,0:34.0,K. Olynyk enters the game for T. Zeller,,45,37
207,2,0:34.0,J. Jerebko enters the game for B. Bass,,45,37
208,2,0:34.0,P. Pressey enters the game for M. Smart,,45,37
209,2,0:34.0,,L. Scola enters the game for R. Hibbert,45,37
210,2,0:34.0,,R. Stuckey misses free throw 1 of 1,45,37
211,2,0:34.0,,Offensive rebound by D. West,45,37
212,2,0:24.0,,C. Miles misses 2-pt jump shot from 19 ft,45,37
213,2,0:23.0,Defensive rebound by K. Olynyk,,45,37
214,2,0:06.0,P. Pressey misses 2-pt jump shot from 3 ft,,45,37
215,2,0:05.0,,Defensive rebound by L. Scola,45,37
216,2,0:00.0,,G. Hill misses 3-pt jump shot from 45 ft,45,37
217,2,0:00.0,,Offensive rebound by Team,45,37
218,2,0:00.0,,Turnover by Team (bad pass),45,37
219,3,11:36.0,E. Turner misses 3-pt jump shot from 25 ft,,45,37
220,3,11:36.0,Offensive rebound by M. Smart,,45,37
221,3,11:36.0,Turnover by Team (shot clock),,45,37
222,3,11:21.0,,D. West makes 2-pt jump shot from 12 ft (assist by G. Hill),45,39
223,3,10:59.0,Turnover by B. Bass (step out of bounds),,45,39
224,3,10:42.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by G. Hill),45,42
225,3,10:23.0,B. Bass makes 2-pt jump shot from 18 ft (assist by A. Bradley),,47,42
226,3,10:04.0,,Turnover by R. Hibbert (bad pass),47,42
227,3,9:49.0,M. Smart misses 3-pt jump shot from 24 ft,,47,42
228,3,9:47.0,,Defensive rebound by S. Hill,47,42
229,3,9:44.0,,Shooting foul by M. Smart (drawn by G. Hill),47,42
230,3,9:44.0,,G. Hill makes free throw 1 of 2,47,43
231,3,9:44.0,,G. Hill makes free throw 2 of 2,47,44
232,3,9:29.0,A. Bradley misses 2-pt jump shot from 17 ft,,47,44
233,3,9:28.0,Offensive rebound by M. Smart,,47,44
234,3,9:23.0,B. Bass makes 2-pt jump shot from 8 ft,,49,44
235,3,9:09.0,,G. Hill makes 2-pt jump shot from 6 ft,49,46
236,3,8:53.0,T. Zeller misses 2-pt jump shot from 16 ft,,49,46
237,3,8:52.0,,Defensive rebound by G. Hill,49,46
238,3,8:44.0,,G. Hill makes 2-pt layup at rim,49,48
239,3,8:21.0,Shooting foul by S. Hill (drawn by E. Turner),,49,48
240,3,8:21.0,E. Turner misses free throw 1 of 2,,49,48
241,3,8:21.0,Offensive rebound by Team,,49,48
242,3,8:21.0,J. Crowder enters the game for M. Smart,,49,48
243,3,8:21.0,E. Turner makes free throw 2 of 2,,50,48
244,3,8:02.0,,S. Hill misses 2-pt jump shot from 14 ft,50,48
245,3,8:01.0,,Offensive rebound by R. Hibbert,50,48
246,3,7:56.0,,Turnover by C. Miles (bad pass; steal by A. Bradley),50,48
247,3,7:51.0,A. Bradley misses 2-pt layup from 1 ft,,50,48
248,3,7:50.0,,Defensive rebound by S. Hill,50,48
249,3,7:45.0,Offensive charge foul by C. Miles (drawn by J. Crowder),,50,48
250,3,7:45.0,,Turnover by C. Miles (offensive foul),50,48
251,3,7:36.0,Shooting foul by R. Hibbert (drawn by T. Zeller),,50,48
252,3,7:36.0,T. Zeller makes free throw 1 of 2,,51,48
253,3,7:36.0,T. Zeller makes free throw 2 of 2,,52,48
254,3,7:10.0,,D. West misses 2-pt jump shot from 19 ft,52,48
255,3,7:09.0,Defensive rebound by E. Turner,,52,48
256,3,7:03.0,J. Crowder misses 2-pt layup from 1 ft (block by D. West),,52,48
257,3,7:01.0,Offensive rebound by J. Crowder,,52,48
258,3,6:59.0,T. Zeller misses 2-pt hook shot from 2 ft,,52,48
259,3,6:58.0,Offensive rebound by B. Bass,,52,48
260,3,6:58.0,,Loose ball foul by R. Hibbert (drawn by B. Bass),52,48
261,3,6:54.0,Turnover by J. Crowder (bad pass),,52,48
262,3,6:48.0,,S. Hill misses 2-pt layup from 1 ft,52,48
263,3,6:48.0,,Offensive rebound by Team,52,48
264,3,6:46.0,,S. Hill misses 2-pt jump shot from 17 ft,52,48
265,3,6:44.0,Defensive rebound by A. Bradley,,52,48
266,3,6:43.0,Personal foul by D. West (drawn by A. Bradley),,52,48
267,3,6:33.0,E. Turner makes 2-pt jump shot from 15 ft,,54,48
268,3,6:12.0,,C. Miles misses 3-pt jump shot from 26 ft,54,48
269,3,6:10.0,,Offensive rebound by R. Hibbert,54,48
270,3,6:05.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by D. West),54,51
271,3,5:45.0,,Offensive charge foul by E. Turner (drawn by R. Hibbert),54,51
272,3,5:45.0,Turnover by E. Turner (offensive foul),,54,51
273,3,5:45.0,,Indiana full timeout,54,51
274,3,5:35.0,,Turnover by D. West (step out of bounds),54,51
275,3,5:21.0,Personal foul by R. Hibbert (drawn by B. Bass),,54,51
276,3,5:21.0,B. Bass makes free throw 1 of 2,,55,51
277,3,5:21.0,,I. Mahinmi enters the game for R. Hibbert,55,51
278,3,5:21.0,,R. Stuckey enters the game for S. Hill,55,51
279,3,5:21.0,B. Bass makes free throw 2 of 2,,56,51
280,3,5:03.0,,C. Miles misses 2-pt jump shot from 8 ft,56,51
281,3,5:01.0,,Offensive rebound by Team,56,51
282,3,5:01.0,K. Olynyk enters the game for T. Zeller,,56,51
283,3,4:50.0,,Shooting foul by A. Bradley (drawn by G. Hill),56,51
284,3,4:50.0,,G. Hill makes free throw 1 of 2,56,52
285,3,4:50.0,,G. Hill makes free throw 2 of 2,56,53
286,3,4:32.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,59,53
287,3,4:20.0,,G. Hill misses 3-pt jump shot from 26 ft,59,53
288,3,4:18.0,Defensive rebound by E. Turner,,59,53
289,3,4:10.0,Turnover by E. Turner (bad pass; steal by R. Stuckey),,59,53
290,3,4:03.0,,R. Stuckey makes 3-pt jump shot from 23 ft (assist by G. Hill),59,56
291,3,3:44.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by K. Olynyk),,61,56
292,3,3:27.0,,R. Stuckey misses 2-pt jump shot from 16 ft,61,56
293,3,3:26.0,,Offensive rebound by C. Miles,61,56
294,3,3:23.0,,C. Miles misses 2-pt jump shot from 5 ft (block by E. Turner),61,56
295,3,3:21.0,Defensive rebound by E. Turner,,61,56
