,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
415,4,1:15.0,,Violation by J. Henson (kicked ball),86,80
416,4,1:15.0,,J. Bayless enters the game for K. Marshall,86,80
417,4,1:00.0,P. Millsap misses 3-pt jump shot from 24 ft,,86,80
418,4,1:00.0,,Defensive rebound by B. Knight,86,80
419,4,0:53.0,,B. Knight misses 2-pt layup from 1 ft,86,80
420,4,0:52.0,Defensive rebound by J. Teague,,86,80
421,4,0:34.0,P. Millsap misses 2-pt layup at rim (block by G. Antetokounmpo),,86,80
422,4,0:31.0,Offensive rebound by J. Teague,,86,80
423,4,0:30.0,Personal foul by J. Henson (drawn by A. Horford),,86,80
424,4,0:29.0,Personal take foul by J. Bayless (drawn by J. Teague),,86,80
425,4,0:29.0,J. Teague makes free throw 1 of 2,,87,80
426,4,0:29.0,T. Sefolosha enters the game for K. Korver,,87,80
427,4,0:29.0,J. Teague makes free throw 2 of 2,,88,80
428,4,0:29.0,,Milwaukee full timeout,88,80
429,4,0:29.0,,Z. Pachulia enters the game for G. Antetokounmpo,88,80
430,4,0:29.0,,J. Dudley enters the game for J. Henson,88,80
431,4,0:25.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Knight),88,83
432,4,0:25.0,Atlanta full timeout,,88,83
433,4,0:25.0,,G. Antetokounmpo enters the game for Z. Pachulia,88,83
434,4,0:25.0,K. Korver enters the game for T. Sefolosha,,88,83
435,4,0:24.0,Personal take foul by G. Antetokounmpo (drawn by A. Horford),,88,83
436,4,0:24.0,A. Horford makes free throw 1 of 2,,89,83
437,4,0:24.0,A. Horford makes free throw 2 of 2,,90,83
438,4,0:24.0,,Milwaukee full timeout,90,83
439,4,0:24.0,,Z. Pachulia enters the game for G. Antetokounmpo,90,83
440,4,0:24.0,T. Sefolosha enters the game for A. Horford,,90,83
441,4,0:18.0,,K. Middleton misses 3-pt jump shot from 25 ft,90,83
442,4,0:17.0,,Offensive rebound by J. Bayless,90,83
443,4,0:13.0,,J. Dudley misses 3-pt jump shot from 23 ft,90,83
444,4,0:13.0,,Offensive rebound by Team,90,83
445,4,0:07.0,,J. Bayless misses 2-pt jump shot from 22 ft,90,83
446,4,0:06.0,,Offensive rebound by K. Middleton,90,83
447,4,0:04.0,,K. Middleton misses 2-pt layup from 1 ft,90,83
448,4,0:01.0,,Offensive rebound by J. Dudley,90,83
449,4,0:01.0,,J. Dudley makes 2-pt layup from 2 ft,90,85
450,4,0:01.0,Offensive foul by K. Korver (drawn by J. Dudley),,90,85
451,4,0:01.0,Turnover by K. Korver (offensive foul),,90,85
