,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
323,4,11:02.0,A. Gee enters the game for J. Hickson,,65,80
324,4,10:50.0,,J. Lucas III makes 2-pt jump shot from 12 ft,65,82
325,4,10:34.0,D. Gallinari misses 3-pt jump shot from 25 ft,,65,82
326,4,10:33.0,,Defensive rebound by J. Meeks,65,82
327,4,10:18.0,,J. Meeks misses 3-pt jump shot from 27 ft,65,82
328,4,10:17.0,Defensive rebound by A. Gee,,65,82
329,4,10:09.0,D. Arthur misses 2-pt jump shot from 16 ft,,65,82
330,4,10:08.0,Offensive rebound by E. Green,,65,82
331,4,10:01.0,Personal foul by J. Anthony (drawn by D. Gallinari),,65,82
332,4,9:52.0,R. Foye misses 3-pt jump shot from 26 ft,,65,82
333,4,9:50.0,,Defensive rebound by A. Tolliver,65,82
334,4,9:44.0,,Personal foul by R. Foye (drawn by J. Meeks),65,82
335,4,9:33.0,,Offensive foul by A. Tolliver (drawn by E. Green),65,82
336,4,9:33.0,,Turnover by A. Tolliver (offensive foul),65,82
337,4,9:33.0,K. Faried enters the game for D. Arthur,,65,82
338,4,9:23.0,Turnover by E. Green (lost ball),,65,82
339,4,9:03.0,,J. Anthony misses 2-pt hook shot from 6 ft,65,82
340,4,9:01.0,Defensive rebound by D. Gallinari,,65,82
341,4,8:57.0,Shooting foul by A. Tolliver (drawn by D. Gallinari),,65,82
342,4,8:57.0,Official timeout,,65,82
343,4,8:57.0,,J. Jerebko enters the game for A. Tolliver,65,82
344,4,8:57.0,,G. Monroe enters the game for J. Anthony,65,82
345,4,8:57.0,T. Lawson enters the game for E. Green,,65,82
346,4,8:57.0,D. Gallinari makes free throw 1 of 2,,66,82
347,4,8:57.0,D. Gallinari makes free throw 2 of 2,,67,82
348,4,8:45.0,,J. Lucas III misses 2-pt jump shot from 8 ft,67,82
349,4,8:45.0,,Offensive rebound by Team,67,82
350,4,8:45.0,Loose ball foul by K. Faried (drawn by G. Monroe),,67,82
351,4,8:31.0,,J. Jerebko misses 3-pt jump shot from 26 ft,67,82
352,4,8:30.0,Defensive rebound by T. Lawson,,67,82
353,4,8:26.0,K. Faried makes 2-pt layup at rim (assist by T. Lawson),,69,82
354,4,8:01.0,,G. Monroe misses 2-pt hook shot from 5 ft,69,82
355,4,8:00.0,Defensive rebound by D. Gallinari,,69,82
356,4,7:52.0,D. Gallinari misses 2-pt jump shot from 19 ft,,69,82
357,4,7:51.0,,Defensive rebound by G. Monroe,69,82
358,4,7:37.0,,Turnover by J. Meeks (bad pass),69,82
359,4,7:22.0,Shooting foul by C. Butler (drawn by K. Faried),,69,82
360,4,7:22.0,K. Faried makes free throw 1 of 2,,70,82
361,4,7:22.0,K. Faried misses free throw 2 of 2,,70,82
362,4,7:21.0,,Defensive rebound by G. Monroe,70,82
363,4,7:04.0,,Turnover by G. Monroe (lost ball; steal by K. Faried),70,82
364,4,6:56.0,Shooting foul by J. Meeks (drawn by T. Lawson),,70,82
365,4,6:56.0,T. Lawson makes free throw 1 of 2,,71,82
366,4,6:56.0,,D. Augustin enters the game for J. Lucas III,71,82
367,4,6:56.0,T. Lawson makes free throw 2 of 2,,72,82
368,4,6:50.0,,Turnover by D. Augustin (bad pass),72,82
369,4,6:41.0,Turnover by R. Foye (bad pass),,72,82
370,4,6:16.0,,Turnover by G. Monroe (lost ball; steal by A. Gee),72,82
371,4,6:13.0,Turnover by D. Gallinari (bad pass; steal by C. Butler),,72,82
372,4,6:13.0,,Personal foul by K. Faried (drawn by C. Butler),72,82
373,4,6:13.0,,Detroit full timeout,72,82
374,4,6:13.0,J. Nurkić enters the game for K. Faried,,72,82
375,4,5:51.0,,Turnover by C. Butler (bad pass),72,82
376,4,5:34.0,T. Lawson misses 2-pt jump shot from 17 ft (block by G. Monroe),,72,82
377,4,5:31.0,,Defensive rebound by G. Monroe,72,82
378,4,5:10.0,,G. Monroe misses 2-pt jump shot from 3 ft (block by J. Nurkić),72,82
379,4,5:09.0,,Offensive rebound by G. Monroe,72,82
380,4,5:06.0,,C. Butler misses 3-pt jump shot from 27 ft,72,82
381,4,5:05.0,Defensive rebound by J. Nurkić,,72,82
