,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
137,2,7:18.0,Turnover by J. Bayless (bad pass; steal by F. Ezeli),,31,36
138,2,7:12.0,,H. Barnes misses 2-pt layup from 2 ft,31,36
139,2,7:09.0,Defensive rebound by Z. Pachulia,,31,36
140,2,6:52.0,J. Bayless makes 3-pt jump shot from 26 ft (assist by E. İlyasova),,34,36
141,2,6:33.0,,H. Barnes makes 2-pt jump shot from 18 ft,34,38
142,2,6:13.0,J. Bayless misses 2-pt jump shot from 15 ft,,34,38
143,2,6:11.0,,Defensive rebound by H. Barnes,34,38
144,2,6:05.0,,K. Thompson misses 3-pt jump shot from 27 ft,34,38
145,2,6:04.0,,Offensive rebound by A. Iguodala,34,38
146,2,6:03.0,,Turnover by A. Iguodala (bad pass),34,38
147,2,5:52.0,T. Ennis misses 2-pt layup from 1 ft,,34,38
148,2,5:51.0,,Defensive rebound by F. Ezeli,34,38
149,2,5:40.0,,F. Ezeli makes 2-pt hook shot from 6 ft (assist by S. Livingston),34,40
150,2,5:17.0,Z. Pachulia misses 2-pt layup from 2 ft,,34,40
151,2,5:16.0,Offensive rebound by Z. Pachulia,,34,40
152,2,5:15.0,Z. Pachulia misses 2-pt layup at rim,,34,40
153,2,5:14.0,Offensive rebound by Z. Pachulia,,34,40
154,2,5:12.0,Z. Pachulia misses 2-pt layup from 1 ft,,34,40
155,2,5:11.0,,Defensive rebound by A. Iguodala,34,40
156,2,5:05.0,,K. Thompson misses 3-pt jump shot from 22 ft,34,40
157,2,5:04.0,Defensive rebound by E. İlyasova,,34,40
158,2,4:53.0,T. Ennis makes 2-pt layup from 2 ft,,36,40
159,2,4:53.0,Shooting foul by S. Livingston (drawn by T. Ennis),,36,40
160,2,4:53.0,Official timeout,,36,40
161,2,4:53.0,K. Middleton enters the game for J. Bayless,,36,40
162,2,4:53.0,,D. Green enters the game for H. Barnes,36,40
163,2,4:53.0,,S. Curry enters the game for A. Iguodala,36,40
164,2,4:53.0,G. Antetokounmpo enters the game for J. Dudley,,36,40
165,2,4:53.0,T. Ennis misses free throw 1 of 1,,36,40
166,2,4:50.0,,Defensive rebound by D. Green,36,40
167,2,4:29.0,,D. Green makes 3-pt jump shot from 23 ft (assist by S. Curry),36,43
168,2,4:20.0,T. Ennis misses 2-pt jump shot from 4 ft (block by F. Ezeli),,36,43
169,2,4:20.0,Offensive rebound by Team,,36,43
170,2,4:20.0,M. Carter-Williams enters the game for T. Ennis,,36,43
171,2,4:14.0,Z. Pachulia makes 2-pt jump shot from 7 ft (assist by K. Middleton),,38,43
172,2,4:02.0,,S. Livingston makes 2-pt dunk at rim (assist by K. Thompson),38,45
173,2,3:42.0,M. Carter-Williams misses 2-pt jump shot from 13 ft (block by S. Curry),,38,45
174,2,3:42.0,Offensive rebound by Z. Pachulia,,38,45
175,2,3:42.0,Technical foul by M. Carter-Williams,,38,45
176,2,3:42.0,,S. Curry makes technical free throw,38,46
177,2,3:41.0,Personal foul by F. Ezeli (drawn by Z. Pachulia),,38,46
178,2,3:31.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,38,46
179,2,3:30.0,,Defensive rebound by F. Ezeli,38,46
180,2,3:06.0,,D. Green misses 3-pt jump shot from 28 ft,38,46
181,2,3:06.0,,Offensive rebound by Team,38,46
182,2,3:06.0,,Personal foul by E. İlyasova (drawn by F. Ezeli),38,46
183,2,3:06.0,,Golden State full timeout,38,46
184,2,2:54.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),38,49
185,2,2:42.0,Turnover by M. Carter-Williams (bad pass; steal by S. Curry),,38,49
186,2,2:37.0,,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),38,51
187,2,2:26.0,M. Carter-Williams misses 2-pt jump shot from 11 ft (block by S. Curry),,38,51
188,2,2:25.0,Offensive rebound by Team,,38,51
189,2,2:25.0,,A. Bogut enters the game for F. Ezeli,38,51
190,2,2:22.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),,40,51
191,2,2:09.0,,D. Green misses 3-pt jump shot from 25 ft,40,51
192,2,2:07.0,Defensive rebound by G. Antetokounmpo,,40,51
193,2,1:56.0,G. Antetokounmpo makes 2-pt jump shot from 13 ft,,42,51
194,2,1:47.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),42,53
195,2,1:31.0,M. Carter-Williams makes 2-pt jump shot from 14 ft,,44,53
196,2,1:23.0,,Shooting foul by K. Middleton (drawn by D. Green),44,53
197,2,1:23.0,,D. Green misses free throw 1 of 2,44,53
198,2,1:23.0,,Offensive rebound by Team,44,53
