,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
170,2,3:17.0,,Phoenix full timeout,48,57
171,2,3:17.0,C. Budinger enters the game for Z. LaVine,,48,57
172,2,3:17.0,A. Wiggins enters the game for G. Robinson,,48,57
173,2,2:59.0,,Turnover by G. Green (bad pass; steal by C. Budinger),48,57
174,2,2:58.0,,Violation by G. Dragić (kicked ball),48,57
175,2,2:47.0,M. Williams misses 2-pt jump shot from 19 ft,,48,57
176,2,2:46.0,,Defensive rebound by E. Bledsoe,48,57
177,2,2:42.0,,Turnover by M. Morris (bad pass; steal by M. Williams),48,57
178,2,2:38.0,A. Wiggins makes 2-pt layup from 1 ft (assist by M. Williams),,50,57
179,2,2:33.0,,Turnover by G. Dragić (bad pass),50,57
180,2,2:18.0,Turnover by M. Williams (traveling),,50,57
181,2,2:11.0,,G. Dragić makes 2-pt layup from 1 ft,50,59
182,2,1:50.0,M. Williams misses 2-pt jump shot from 21 ft,,50,59
183,2,1:48.0,,Defensive rebound by A. Len,50,59
184,2,1:34.0,,G. Green misses 2-pt jump shot from 18 ft,50,59
185,2,1:32.0,Defensive rebound by C. Budinger,,50,59
186,2,1:26.0,A. Wiggins makes 2-pt layup at rim,,52,59
187,2,1:09.0,,G. Dragić misses 2-pt jump shot from 16 ft,52,59
188,2,1:07.0,,Offensive rebound by A. Len,52,59
189,2,1:06.0,,A. Len misses 2-pt layup at rim,52,59
190,2,1:04.0,,Offensive rebound by G. Green,52,59
191,2,1:04.0,,G. Green misses 2-pt tip-in from 1 ft,52,59
192,2,1:02.0,,Offensive rebound by G. Green,52,59
193,2,1:00.0,,G. Green misses 2-pt jump shot from 6 ft,52,59
194,2,1:00.0,Defensive rebound by G. Dieng,,52,59
195,2,1:00.0,Personal take foul by G. Green (drawn by G. Dieng),,52,59
196,2,1:00.0,G. Dieng makes free throw 1 of 2,,53,59
197,2,1:00.0,Z. LaVine enters the game for C. Budinger,,53,59
198,2,1:00.0,T. Daniels enters the game for M. Williams,,53,59
199,2,1:00.0,G. Dieng makes free throw 2 of 2,,54,59
200,2,0:40.0,,Turnover by M. Morris (bad pass; steal by A. Wiggins),54,59
201,2,0:37.0,A. Wiggins misses 2-pt layup at rim,,54,59
202,2,0:36.0,Offensive rebound by Z. LaVine,,54,59
203,2,0:36.0,Z. LaVine makes 2-pt layup from 1 ft,,56,59
204,2,0:15.0,,Turnover by E. Bledsoe (bad pass),56,59
205,2,0:15.0,,I. Thomas enters the game for E. Bledsoe,56,59
206,2,0:00.0,G. Dieng misses 2-pt jump shot from 19 ft,,56,59
207,2,0:00.0,Offensive rebound by Team,,56,59
208,3,11:35.0,Turnover by Team (shot clock),,56,59
209,3,11:20.0,,P. Tucker makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),56,61
210,3,11:01.0,A. Wiggins misses 2-pt jump shot from 21 ft,,56,61
211,3,10:59.0,,Defensive rebound by G. Dragić,56,61
212,3,10:50.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by G. Dragić),56,64
213,3,10:50.0,Minnesota full timeout,,56,64
214,3,10:31.0,T. Young makes 2-pt layup from 1 ft (assist by M. Williams),,58,64
215,3,10:13.0,,Turnover by G. Dragić (lost ball; steal by T. Young),58,64
216,3,10:07.0,M. Williams misses 3-pt jump shot from 23 ft,,58,64
217,3,10:05.0,Offensive rebound by C. Budinger,,58,64
218,3,10:01.0,T. Young misses 2-pt jump shot from 3 ft,,58,64
219,3,9:59.0,Offensive rebound by T. Young,,58,64
220,3,9:59.0,T. Young makes 2-pt tip-in from 1 ft,,60,64
221,3,9:38.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by G. Dragić),60,66
222,3,9:21.0,C. Budinger makes 2-pt jump shot from 19 ft (assist by T. Young),,62,66
223,3,9:08.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,62,66
224,3,9:07.0,,Offensive rebound by M. Morris,62,66
225,3,9:07.0,,M. Morris makes 2-pt jump shot from 4 ft,62,68
226,3,9:07.0,,Shooting foul by G. Dieng (drawn by M. Morris),62,68
