,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
181,2,3:01.0,,A. Davis misses 2-pt hook shot from 7 ft,46,47
182,2,2:59.0,Defensive rebound by E. Bledsoe,,46,47
183,2,2:41.0,M. Morris misses 2-pt jump shot from 16 ft,,46,47
184,2,2:40.0,,Defensive rebound by T. Evans,46,47
185,2,2:36.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),46,49
186,2,2:36.0,,Shooting foul by P. Tucker (drawn by A. Davis),46,49
187,2,2:36.0,Phoenix full timeout,,46,49
188,2,2:36.0,,R. Anderson enters the game for Ö. Aşık,46,49
189,2,2:36.0,,A. Davis makes free throw 1 of 1,46,50
190,2,2:20.0,Shooting foul by J. Fredette (drawn by E. Bledsoe),,46,50
191,2,2:20.0,E. Bledsoe makes free throw 1 of 2,,47,50
192,2,2:20.0,G. Green enters the game for A. Len,,47,50
193,2,2:20.0,E. Bledsoe misses free throw 2 of 2,,47,50
194,2,2:18.0,,Defensive rebound by R. Anderson,47,50
195,2,1:58.0,,T. Evans misses 2-pt layup from 1 ft,47,50
196,2,1:57.0,,Offensive rebound by A. Davis,47,50
197,2,1:53.0,,J. Holiday makes 2-pt jump shot from 10 ft (assist by A. Davis),47,52
198,2,1:40.0,G. Green misses 3-pt jump shot from 25 ft,,47,52
199,2,1:39.0,Offensive rebound by E. Bledsoe,,47,52
200,2,1:32.0,Personal foul by J. Holiday (drawn by E. Bledsoe),,47,52
201,2,1:32.0,,A. Rivers enters the game for J. Fredette,47,52
202,2,1:18.0,E. Bledsoe makes 2-pt layup from 2 ft,,49,52
203,2,1:08.0,,R. Anderson makes 2-pt jump shot from 3 ft,49,54
204,2,0:56.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,52,54
205,2,0:41.0,,Turnover by J. Holiday (bad pass; steal by E. Bledsoe),52,54
206,2,0:40.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,52,54
207,2,0:40.0,E. Bledsoe makes free throw 1 of 2,,53,54
208,2,0:40.0,,J. Fredette enters the game for J. Holiday,53,54
209,2,0:40.0,M. Morris enters the game for M. Morris,,53,54
210,2,0:40.0,I. Thomas enters the game for G. Green,,53,54
211,2,0:40.0,E. Bledsoe misses free throw 2 of 2,,53,54
212,2,0:40.0,,Defensive rebound by T. Evans,53,54
213,2,0:23.0,,Turnover by T. Evans (bad pass; steal by M. Morris),53,54
214,2,0:19.0,Phoenix full timeout,,53,54
215,2,0:19.0,,D. Cunningham enters the game for J. Fredette,53,54
216,2,0:06.0,Offensive foul by M. Morris (drawn by R. Anderson),,53,54
217,2,0:06.0,Turnover by M. Morris (offensive foul),,53,54
218,2,0:06.0,,J. Holiday enters the game for D. Cunningham,53,54
219,2,0:06.0,,J. Fredette enters the game for A. Rivers,53,54
220,2,0:06.0,Technical foul by M. Morris,,53,54
221,2,0:06.0,,J. Fredette makes technical free throw,53,55
222,2,0:06.0,G. Green enters the game for M. Morris,,53,55
223,2,0:02.0,Offensive charge foul by T. Evans (drawn by P. Tucker),,53,55
224,2,0:02.0,,Turnover by T. Evans (offensive foul),53,55
225,2,0:02.0,,A. Rivers enters the game for J. Holiday,53,55
226,2,0:02.0,,D. Cunningham enters the game for T. Evans,53,55
227,3,11:47.0,M. Morris makes 2-pt jump shot from 14 ft,,55,55
228,3,11:22.0,,A. Davis makes 2-pt layup from 2 ft,55,57
229,3,11:13.0,M. Morris misses 3-pt jump shot from 25 ft,,55,57
230,3,11:12.0,,Defensive rebound by L. Babbitt,55,57
231,3,11:00.0,,J. Holiday makes 2-pt layup from 2 ft,55,59
232,3,10:50.0,Personal foul by T. Evans (drawn by G. Dragić),,55,59
233,3,10:34.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by G. Dragić),,58,59
234,3,10:15.0,,L. Babbitt misses 3-pt jump shot from 23 ft,58,59
235,3,10:14.0,Defensive rebound by P. Tucker,,58,59
236,3,9:52.0,M. Morris makes 2-pt jump shot from 15 ft,,60,59
237,3,9:35.0,,T. Evans misses 3-pt jump shot from 25 ft,60,59
238,3,9:34.0,Defensive rebound by E. Bledsoe,,60,59
239,3,9:13.0,G. Dragić makes 2-pt layup from 1 ft,,62,59
240,3,8:58.0,,Ö. Aşık makes 2-pt hook shot from 4 ft (assist by J. Holiday),62,61
241,3,8:50.0,E. Bledsoe misses 2-pt jump shot from 22 ft,,62,61
242,3,8:48.0,,Defensive rebound by Ö. Aşık,62,61
243,3,8:29.0,,J. Holiday makes 3-pt jump shot from 24 ft,62,64
244,3,8:17.0,Turnover by A. Len (bad pass; steal by J. Holiday),,62,64
245,3,8:12.0,,J. Holiday makes 2-pt layup from 2 ft,62,66
246,3,8:04.0,,A. Rivers enters the game for L. Babbitt,62,66
247,3,7:56.0,A. Len misses 2-pt hook shot from 3 ft,,62,66
248,3,7:54.0,,Defensive rebound by J. Holiday,62,66
