,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
187,2,3:42.0,Offensive rebound by Team,,34,51
188,2,3:42.0,,B. Udrih enters the game for M. Conley,34,51
189,2,3:42.0,J. Sampson enters the game for R. Covington,,34,51
190,2,3:42.0,F. Aldemir enters the game for N. Noel,,34,51
191,2,3:42.0,K. McDaniels misses free throw 2 of 2,,34,51
192,2,3:41.0,,Defensive rebound by Z. Randolph,34,51
193,2,3:32.0,,Personal foul by J. Sampson (drawn by J. Green),34,51
194,2,3:32.0,J. Grant enters the game for K. McDaniels,,34,51
195,2,3:21.0,,Z. Randolph makes 2-pt layup at rim (assist by J. Green),34,53
196,2,2:56.0,M. Carter-Williams misses 2-pt jump shot from 21 ft (block by V. Carter),,34,53
197,2,2:56.0,Offensive rebound by J. Sampson,,34,53
198,2,2:56.0,Turnover by Team (shot clock),,34,53
199,2,2:56.0,,Memphis full timeout,34,53
200,2,2:56.0,,C. Lee enters the game for V. Carter,34,53
201,2,2:46.0,,J. Green misses 2-pt jump shot from 6 ft,34,53
202,2,2:46.0,,Offensive rebound by Team,34,53
203,2,2:39.0,,C. Lee misses 3-pt jump shot from 23 ft,34,53
204,2,2:38.0,Defensive rebound by L. Mbah a Moute,,34,53
205,2,2:16.0,F. Aldemir makes 2-pt jump shot from 13 ft (assist by M. Carter-Williams),,36,53
206,2,2:00.0,,Shooting foul by F. Aldemir (drawn by C. Lee),36,53
207,2,2:00.0,,Memphis full timeout,36,53
208,2,2:00.0,,C. Lee makes free throw 1 of 2,36,54
209,2,2:00.0,,C. Lee makes free throw 2 of 2,36,55
210,2,1:48.0,Turnover by M. Carter-Williams (lost ball; steal by B. Udrih),,36,55
211,2,1:44.0,,Shooting foul by J. Grant (drawn by M. Gasol),36,55
212,2,1:44.0,,M. Gasol makes free throw 1 of 2,36,56
213,2,1:44.0,H. Thompson enters the game for L. Mbah a Moute,,36,56
214,2,1:44.0,,M. Gasol makes free throw 2 of 2,36,57
215,2,1:30.0,F. Aldemir misses 2-pt jump shot from 20 ft,,36,57
216,2,1:29.0,,Defensive rebound by Z. Randolph,36,57
217,2,1:22.0,,Turnover by B. Udrih (lost ball),36,57
218,2,1:22.0,L. Drew enters the game for M. Carter-Williams,,36,57
219,2,1:08.0,J. Grant misses 2-pt layup from 2 ft,,36,57
220,2,1:06.0,,Defensive rebound by M. Gasol,36,57
221,2,1:03.0,,C. Lee misses 2-pt layup from 1 ft,36,57
222,2,1:01.0,,Offensive rebound by B. Udrih,36,57
223,2,1:00.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by B. Udrih),36,60
224,2,0:46.0,J. Sampson misses 2-pt jump shot from 6 ft,,36,60
225,2,0:44.0,Offensive rebound by F. Aldemir,,36,60
226,2,0:44.0,F. Aldemir misses 2-pt tip-in at rim (block by M. Gasol),,36,60
227,2,0:42.0,,Defensive rebound by Z. Randolph,36,60
228,2,0:35.0,,Turnover by Z. Randolph (bad pass; steal by F. Aldemir),36,60
229,2,0:32.0,J. Sampson makes 2-pt layup from 1 ft,,38,60
230,2,0:29.0,,Turnover by M. Gasol (bad pass; steal by F. Aldemir),38,60
231,2,0:08.0,H. Thompson makes 3-pt jump shot from 22 ft (assist by L. Drew),,41,60
232,2,0:03.0,,B. Udrih misses 2-pt layup at rim,41,60
233,2,0:01.0,,Offensive rebound by B. Udrih,41,60
234,3,11:40.0,N. Noel makes 2-pt jump shot from 4 ft (assist by M. Carter-Williams),,43,60
235,3,11:16.0,,Shooting foul by M. Carter-Williams (drawn by C. Lee),43,60
236,3,11:16.0,,C. Lee makes free throw 1 of 2,43,61
237,3,11:16.0,,C. Lee makes free throw 2 of 2,43,62
238,3,10:58.0,Turnover by M. Carter-Williams (bad pass; steal by C. Lee),,43,62
239,3,10:46.0,,J. Green misses 2-pt jump shot from 21 ft,43,62
240,3,10:45.0,Defensive rebound by L. Mbah a Moute,,43,62
241,3,10:30.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,45,62
242,3,10:09.0,,M. Gasol makes 2-pt hook shot from 4 ft,45,64
243,3,9:51.0,M. Carter-Williams misses 2-pt jump shot from 4 ft (block by M. Gasol),,45,64
244,3,9:50.0,Offensive rebound by N. Noel,,45,64
245,3,9:47.0,N. Noel misses 2-pt layup at rim,,45,64
246,3,9:46.0,,Defensive rebound by Z. Randolph,45,64
247,3,9:37.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),45,66
248,3,9:24.0,N. Noel misses 2-pt layup from 2 ft (block by M. Gasol),,45,66
249,3,9:22.0,,Defensive rebound by Z. Randolph,45,66
250,3,9:10.0,,M. Conley misses 2-pt jump shot from 14 ft,45,66
251,3,9:08.0,Defensive rebound by N. Noel,,45,66
252,3,9:01.0,M. Carter-Williams misses 2-pt layup from 2 ft,,45,66
253,3,8:58.0,Offensive rebound by K. McDaniels,,45,66
254,3,8:52.0,K. McDaniels misses 3-pt jump shot from 27 ft,,45,66
255,3,8:51.0,,Defensive rebound by Z. Randolph,45,66
256,3,8:40.0,,Turnover by C. Lee (bad pass),45,66
257,3,8:40.0,F. Aldemir enters the game for N. Noel,,45,66
258,3,8:40.0,,Technical foul by Z. Randolph,45,66
259,3,8:40.0,R. Covington misses technical free throw,,45,66
260,3,8:40.0,Offensive rebound by Team,,45,66
261,3,8:25.0,Turnover by R. Covington (lost ball; steal by M. Gasol),,45,66
262,3,8:20.0,,J. Green misses 2-pt layup from 1 ft,45,66
