,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
321,4,9:32.0,Offensive rebound by K. Séraphin,,81,63
322,4,9:29.0,K. Séraphin makes 2-pt hook shot from 5 ft,,83,63
323,4,9:27.0,,Personal take foul by D. Gooden (drawn by B. Roberts),83,63
324,4,9:27.0,Washington full timeout,,83,63
325,4,9:27.0,B. Beal enters the game for G. Temple,,83,63
326,4,9:27.0,,A. Jefferson enters the game for B. Biyombo,83,63
327,4,9:27.0,,M. Williams enters the game for J. Maxiell,83,63
328,4,9:10.0,,L. Stephenson misses 2-pt jump shot from 16 ft,83,63
329,4,9:08.0,Defensive rebound by D. Gooden,,83,63
330,4,8:55.0,K. Séraphin makes 2-pt dunk at rim (assist by D. Gooden),,85,63
331,4,8:28.0,,B. Roberts misses 3-pt jump shot from 25 ft,85,63
332,4,8:27.0,Defensive rebound by R. Sessions,,85,63
333,4,8:11.0,B. Beal makes 2-pt jump shot from 18 ft,,87,63
334,4,8:11.0,,Charlotte full timeout,87,63
335,4,8:11.0,,M. Williams enters the game for B. Roberts,87,63
336,4,8:11.0,,G. Henderson enters the game for L. Stephenson,87,63
337,4,7:47.0,,M. Williams misses 2-pt jump shot from 22 ft,87,63
338,4,7:46.0,Defensive rebound by D. Gooden,,87,63
339,4,7:34.0,Turnover by B. Beal (bad pass),,87,63
340,4,7:18.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by A. Jefferson),87,65
341,4,7:03.0,Turnover by O. Porter (lost ball),,87,65
342,4,6:53.0,,Turnover by M. Williams (bad pass; steal by K. Séraphin),87,65
343,4,6:37.0,R. Sessions misses 2-pt layup from 1 ft (block by A. Jefferson),,87,65
344,4,6:35.0,,Defensive rebound by M. Williams,87,65
345,4,6:16.0,,A. Jefferson makes 2-pt hook shot from 5 ft (assist by M. Williams),87,67
346,4,6:03.0,R. Sessions makes 2-pt layup from 1 ft,,89,67
347,4,5:44.0,,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),89,67
348,4,5:44.0,,M. Kidd-Gilchrist makes free throw 1 of 2,89,68
349,4,5:44.0,,T. Daniels enters the game for G. Henderson,89,68
350,4,5:44.0,,M. Kidd-Gilchrist makes free throw 2 of 2,89,69
351,4,5:31.0,B. Beal misses 2-pt jump shot from 17 ft,,89,69
352,4,5:30.0,,Defensive rebound by M. Williams,89,69
353,4,5:19.0,,T. Daniels misses 3-pt jump shot from 25 ft,89,69
354,4,5:18.0,Defensive rebound by Team,,89,69
355,4,5:02.0,O. Porter misses 2-pt jump shot from 21 ft,,89,69
356,4,5:01.0,,Defensive rebound by A. Jefferson,89,69
357,4,4:50.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 13 ft,89,69
358,4,4:49.0,Defensive rebound by D. Gooden,,89,69
359,4,4:36.0,Personal foul by T. Daniels (drawn by B. Beal),,89,69
360,4,4:36.0,,B. Roberts enters the game for M. Kidd-Gilchrist,89,69
361,4,4:36.0,,B. Biyombo enters the game for A. Jefferson,89,69
362,4,4:36.0,,N. Vonleh enters the game for M. Williams,89,69
363,4,4:36.0,,J. Taylor enters the game for M. Williams,89,69
364,4,4:26.0,B. Beal makes 2-pt layup from 2 ft,,91,69
365,4,4:15.0,R. Butler enters the game for B. Beal,,91,69
366,4,4:00.0,,N. Vonleh misses 2-pt jump shot from 16 ft (block by R. Butler),91,69
367,4,4:00.0,,Offensive rebound by Team,91,69
368,4,4:00.0,,Turnover by Team (shot clock),91,69
369,4,3:50.0,R. Butler misses 2-pt jump shot from 19 ft,,91,69
370,4,3:48.0,,Defensive rebound by B. Biyombo,91,69
371,4,3:35.0,,B. Roberts misses 2-pt jump shot from 8 ft,91,69
372,4,3:32.0,Defensive rebound by O. Porter,,91,69
373,4,3:28.0,Turnover by O. Porter (bad pass),,91,69
374,4,3:28.0,D. Blair enters the game for D. Gooden,,91,69
375,4,3:21.0,,Offensive foul by B. Biyombo (drawn by R. Butler),91,69
376,4,3:21.0,,Turnover by B. Biyombo (offensive foul),91,69
