,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
174,2,3:52.0,,J. Farmar misses 3-pt jump shot from 23 ft,36,47
175,2,3:51.0,Defensive rebound by D. Augustin,,36,47
176,2,3:47.0,A. Drummond makes 2-pt dunk at rim (assist by D. Augustin),,38,47
177,2,3:27.0,,B. Griffin makes 2-pt jump shot from 12 ft (assist by J. Farmar),38,49
178,2,3:07.0,Shooting foul by D. Jordan (drawn by J. Smith),,38,49
179,2,3:07.0,J. Smith misses free throw 1 of 2,,38,49
180,2,3:07.0,Offensive rebound by Team,,38,49
181,2,3:07.0,,C. Paul enters the game for J. Farmar,38,49
182,2,3:07.0,,J. Redick enters the game for J. Crawford,38,49
183,2,3:07.0,,M. Barnes enters the game for C. Douglas-Roberts,38,49
184,2,3:07.0,J. Meeks enters the game for D. Augustin,,38,49
185,2,3:07.0,J. Smith misses free throw 2 of 2,,38,49
186,2,3:06.0,,Defensive rebound by M. Barnes,38,49
187,2,2:56.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),38,51
188,2,2:33.0,A. Drummond makes 2-pt jump shot from 8 ft (assist by J. Meeks),,40,51
189,2,2:21.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),40,53
190,2,2:08.0,Turnover by J. Smith (bad pass; steal by M. Barnes),,40,53
191,2,1:58.0,,LA Clippers full timeout,40,53
192,2,1:47.0,,M. Barnes misses 3-pt jump shot from 25 ft,40,53
193,2,1:45.0,,Offensive rebound by B. Griffin,40,53
194,2,1:37.0,,J. Redick misses 2-pt jump shot from 8 ft,40,53
195,2,1:34.0,,Offensive rebound by D. Jordan,40,53
196,2,1:34.0,,D. Jordan makes 2-pt dunk at rim,40,55
197,2,1:12.0,J. Meeks misses 2-pt jump shot from 14 ft,,40,55
198,2,1:09.0,Offensive rebound by A. Drummond,,40,55
199,2,1:09.0,A. Drummond makes 2-pt tip-in at rim,,42,55
200,2,1:00.0,,Personal foul by J. Smith (drawn by B. Griffin),42,55
201,2,1:00.0,,G. Davis enters the game for D. Jordan,42,55
202,2,1:00.0,G. Monroe enters the game for J. Smith,,42,55
203,2,1:00.0,D. Augustin enters the game for B. Jennings,,42,55
204,2,0:52.0,,B. Griffin misses 2-pt jump shot from 16 ft,42,55
205,2,0:49.0,Defensive rebound by K. Caldwell-Pope,,42,55
206,2,0:42.0,,Offensive charge foul by G. Monroe (drawn by G. Davis),42,55
207,2,0:42.0,Turnover by G. Monroe (offensive foul),,42,55
208,2,0:30.0,,B. Griffin misses 2-pt jump shot from 13 ft,42,55
209,2,0:29.0,Defensive rebound by J. Meeks,,42,55
210,2,0:25.0,Shooting foul by J. Redick (drawn by J. Meeks),,42,55
211,2,0:25.0,J. Meeks makes free throw 1 of 2,,43,55
212,2,0:25.0,J. Meeks makes free throw 2 of 2,,44,55
213,2,0:22.0,,LA Clippers full timeout,44,55
214,2,0:22.0,,J. Crawford enters the game for G. Davis,44,55
215,2,0:22.0,K. Singler enters the game for A. Drummond,,44,55
216,2,0:02.0,,B. Griffin misses 2-pt jump shot from 21 ft,44,55
217,2,0:01.0,Defensive rebound by D. Augustin,,44,55
218,3,11:38.0,A. Drummond misses 2-pt layup from 2 ft (block by D. Jordan),,44,55
219,3,11:29.0,,Defensive rebound by Team,44,55
220,3,11:29.0,,Personal foul by K. Caldwell-Pope (drawn by B. Griffin),44,55
221,3,11:11.0,,B. Griffin misses 2-pt jump shot from 22 ft,44,55
222,3,11:10.0,Defensive rebound by A. Drummond,,44,55
223,3,11:06.0,B. Jennings misses 3-pt jump shot from 25 ft,,44,55
224,3,11:02.0,Offensive rebound by A. Drummond,,44,55
225,3,11:02.0,Shooting foul by J. Redick (drawn by A. Drummond),,44,55
226,3,11:02.0,A. Drummond makes free throw 1 of 2,,45,55
227,3,11:02.0,A. Drummond makes free throw 2 of 2,,46,55
228,3,10:54.0,,J. Redick misses 3-pt jump shot from 25 ft,46,55
229,3,10:53.0,Defensive rebound by K. Caldwell-Pope,,46,55
230,3,10:43.0,K. Singler misses 2-pt jump shot from 11 ft,,46,55
231,3,10:39.0,,Defensive rebound by M. Barnes,46,55
232,3,10:35.0,,M. Barnes misses 2-pt layup from 2 ft (block by A. Drummond),46,55
233,3,10:32.0,Defensive rebound by K. Singler,,46,55
234,3,10:29.0,Turnover by K. Singler (bad pass; steal by B. Griffin),,46,55
235,3,10:27.0,,Personal foul by A. Drummond (drawn by C. Paul),46,55
236,3,10:19.0,,C. Paul makes 2-pt jump shot from 13 ft,46,57
237,3,9:53.0,B. Jennings misses 2-pt jump shot from 13 ft,,46,57
238,3,9:51.0,Offensive rebound by A. Drummond,,46,57
239,3,9:49.0,A. Drummond misses 2-pt layup at rim,,46,57
240,3,9:46.0,Offensive rebound by J. Smith,,46,57
241,3,9:46.0,J. Smith makes 2-pt tip-in at rim,,48,57
