,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
337,3,0:59.0,,A. Tolliver makes free throw 1 of 2,96,77
338,3,0:59.0,,A. Tolliver makes free throw 2 of 2,96,78
339,3,0:36.0,L. James misses 2-pt jump shot from 14 ft,,96,78
340,3,0:36.0,,Defensive rebound by A. Tolliver,96,78
341,3,0:21.0,,A. Drummond misses 2-pt hook shot from 6 ft,96,78
342,3,0:21.0,Defensive rebound by T. Mozgov,,96,78
343,3,0:01.0,L. James misses 2-pt jump shot from 11 ft,,96,78
344,3,0:00.0,Offensive rebound by Team,,96,78
345,4,11:51.0,,S. Johnson makes 2-pt jump shot from 10 ft,96,80
346,4,11:51.0,,Shooting foul by M. Dellavedova (drawn by S. Johnson),96,80
347,4,11:51.0,,S. Johnson misses free throw 1 of 1,96,80
348,4,11:50.0,Defensive rebound by T. Mozgov,,96,80
349,4,11:37.0,Turnover by K. Irving (bad pass; steal by M. Morris),,96,80
350,4,11:35.0,,Personal foul by M. Dellavedova (drawn by M. Morris),96,80
351,4,11:19.0,,S. Johnson misses 2-pt jump shot from 11 ft,96,80
352,4,11:19.0,Defensive rebound by T. Mozgov,,96,80
353,4,11:09.0,K. Irving makes 2-pt jump shot from 17 ft,,98,80
354,4,10:53.0,,Turnover by S. Johnson (lost ball; steal by M. Dellavedova),98,80
355,4,10:48.0,Turnover by M. Dellavedova (bad pass; steal by E. İlyasova),,98,80
356,4,10:26.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by B. Jennings),98,83
357,4,10:09.0,R. Jefferson misses 3-pt jump shot from 26 ft,,98,83
358,4,10:09.0,,Defensive rebound by B. Jennings,98,83
359,4,10:01.0,,Personal foul by R. Jefferson (drawn by E. İlyasova),98,83
360,4,9:53.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by B. Jennings),98,86
361,4,9:53.0,Cleveland full timeout,,98,86
362,4,9:36.0,K. Irving makes 2-pt jump shot from 17 ft,,100,86
363,4,9:19.0,,B. Jennings misses 3-pt jump shot from 25 ft,100,86
364,4,9:18.0,Defensive rebound by K. Irving,,100,86
365,4,9:05.0,Turnover by T. Mozgov (3 sec),,100,86
366,4,8:53.0,,M. Morris misses 2-pt jump shot from 12 ft,100,86
367,4,8:52.0,Defensive rebound by T. Mozgov,,100,86
368,4,8:44.0,Personal foul by S. Johnson (drawn by K. Irving),,100,86
369,4,8:44.0,J. Smith enters the game for M. Dellavedova,,100,86
370,4,8:44.0,K. Love enters the game for R. Jefferson,,100,86
371,4,8:36.0,K. Irving misses 3-pt jump shot from 26 ft,,100,86
372,4,8:36.0,,Defensive rebound by B. Jennings,100,86
373,4,8:18.0,,S. Johnson makes 2-pt jump shot from 14 ft,100,88
374,4,7:53.0,K. Love misses 2-pt jump shot from 12 ft,,100,88
375,4,7:52.0,,Defensive rebound by S. Johnson,100,88
376,4,7:44.0,,A. Baynes makes 2-pt jump shot from 14 ft (assist by S. Johnson),100,90
377,4,7:20.0,K. Irving makes 2-pt jump shot from 11 ft,,102,90
378,4,7:09.0,,Personal foul by I. Shumpert (drawn by M. Morris),102,90
379,4,7:09.0,L. James enters the game for I. Shumpert,,102,90
