,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
310,3,4:20.0,,J. Terry misses 3-pt jump shot from 24 ft,52,59
311,3,4:19.0,Defensive rebound by M. Williams,,52,59
312,3,4:03.0,N. Batum misses 2-pt jump shot from 16 ft,,52,59
313,3,4:02.0,Offensive rebound by M. Williams,,52,59
314,3,3:58.0,Turnover by N. Batum (lost ball),,52,59
315,3,3:58.0,F. Kaminsky enters the game for M. Williams,,52,59
316,3,3:34.0,,C. Brewer misses 3-pt jump shot from 24 ft,52,59
317,3,3:33.0,Defensive rebound by F. Kaminsky,,52,59
318,3,3:11.0,K. Walker misses 3-pt jump shot from 25 ft (block by J. Harden),,52,59
319,3,3:11.0,Offensive rebound by Team,,52,59
320,3,3:08.0,K. Walker misses 2-pt jump shot from 12 ft,,52,59
321,3,3:07.0,Offensive rebound by J. Lin,,52,59
322,3,3:02.0,K. Walker makes 3-pt jump shot from 23 ft (assist by J. Lin),,55,59
323,3,3:01.0,Technical foul by K. Walker,,55,59
324,3,3:01.0,,J. Harden makes technical free throw,55,60
325,3,3:01.0,S. Hawes enters the game for C. Zeller,,55,60
326,3,2:50.0,,J. Terry makes 2-pt layup from 1 ft,55,62
327,3,2:49.0,Charlotte full timeout,,55,62
328,3,2:44.0,Personal foul by J. Harden (drawn by N. Batum),,55,62
329,3,2:44.0,N. Batum makes free throw 1 of 2,,56,62
330,3,2:44.0,N. Batum makes free throw 2 of 2,,57,62
331,3,2:35.0,,Turnover by J. Harden (offensive foul),57,62
332,3,2:35.0,Offensive charge foul by J. Harden (drawn by K. Walker),,57,62
333,3,2:35.0,,M. Thornton enters the game for J. Harden,57,62
334,3,2:35.0,,P. Beverley enters the game for J. Terry,57,62
335,3,2:20.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,57,62
336,3,2:18.0,,Defensive rebound by C. Capela,57,62
337,3,2:08.0,,D. Motiejūnas misses 2-pt hook shot from 11 ft,57,62
338,3,2:07.0,Defensive rebound by N. Batum,,57,62
339,3,1:59.0,S. Hawes misses 2-pt jump shot from 13 ft,,57,62
340,3,1:58.0,,Defensive rebound by M. Thornton,57,62
341,3,1:42.0,,M. Thornton makes 2-pt jump shot from 13 ft,57,64
342,3,1:21.0,F. Kaminsky makes 3-pt jump shot from 23 ft (assist by N. Batum),,60,64
343,3,1:06.0,,Turnover by M. Thornton (bad pass),60,64
344,3,1:06.0,,T. Jones enters the game for C. Capela,60,64
345,3,1:06.0,J. Lamb enters the game for K. Walker,,60,64
346,3,0:49.0,J. Lin misses 3-pt jump shot from 24 ft,,60,64
347,3,0:48.0,,Defensive rebound by Team,60,64
348,3,0:47.0,Loose ball foul by N. Batum (drawn by T. Jones),,60,64
349,3,0:47.0,Technical foul by N. Batum,,60,64
350,3,0:47.0,,M. Thornton makes technical free throw,60,65
351,3,0:47.0,,T. Jones makes free throw 1 of 2,60,66
352,3,0:47.0,,T. Jones makes free throw 2 of 2,60,67
353,3,0:33.0,Offensive foul by S. Hawes (drawn by D. Motiejūnas),,60,67
354,3,0:33.0,Turnover by S. Hawes (offensive foul),,60,67
355,3,0:33.0,Technical foul by Team,,60,67
356,3,0:33.0,,M. Thornton misses technical free throw,60,67
357,3,0:33.0,,Offensive rebound by Team,60,67
358,3,0:29.0,,Shooting foul by J. Lin (drawn by P. Beverley),60,67
359,3,0:29.0,,P. Beverley misses free throw 1 of 2,60,67
360,3,0:29.0,,Offensive rebound by Team,60,67
361,3,0:29.0,,P. Beverley misses free throw 2 of 2,60,67
362,3,0:29.0,Defensive rebound by F. Kaminsky,,60,67
363,3,0:07.0,F. Kaminsky misses 3-pt jump shot from 22 ft,,60,67
364,3,0:06.0,,Defensive rebound by T. Jones,60,67
365,3,0:00.0,,T. Jones makes 2-pt layup from 1 ft,60,69
366,4,11:47.0,,Turnover by M. Thornton (bad pass; steal by S. Hawes),60,69
367,4,11:40.0,K. Walker misses 3-pt jump shot from 24 ft,,60,69
368,4,11:39.0,,Defensive rebound by C. Brewer,60,69
369,4,11:33.0,,M. Thornton makes 3-pt jump shot from 25 ft (assist by C. Brewer),60,72
370,4,11:07.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by J. Lamb),,63,72
371,4,10:50.0,,Offensive foul by D. Howard (drawn by J. Lin),63,72
372,4,10:50.0,,Turnover by D. Howard (offensive foul),63,72
373,4,10:50.0,,C. Capela enters the game for D. Howard,63,72
374,4,10:37.0,Turnover by K. Walker (lost ball; steal by M. Thornton),,63,72
375,4,10:32.0,,T. Jones makes 2-pt layup from 1 ft (assist by C. Brewer),63,74
376,4,10:32.0,Charlotte full timeout,,63,74
377,4,10:27.0,Personal foul by C. Brewer (drawn by J. Lin),,63,74
378,4,10:13.0,Shooting foul by M. Thornton (drawn by F. Kaminsky),,63,74
379,4,10:13.0,F. Kaminsky misses free throw 1 of 2,,63,74
380,4,10:13.0,Offensive rebound by Team,,63,74
381,4,10:13.0,F. Kaminsky makes free throw 2 of 2,,64,74
382,4,9:52.0,,M. Thornton makes 2-pt jump shot from 19 ft,64,76
383,4,9:36.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by J. Lin),,66,76
384,4,9:30.0,,Offensive foul by P. Beverley (drawn by K. Walker),66,76
385,4,9:30.0,,Turnover by P. Beverley (offensive foul),66,76
386,4,9:14.0,J. Lamb misses 3-pt jump shot from 26 ft,,66,76
387,4,9:13.0,,Defensive rebound by C. Capela,66,76
388,4,9:05.0,,P. Beverley misses 3-pt jump shot from 24 ft,66,76
