,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
255,3,6:18.0,,R. Westbrook misses free throw 1 of 2,63,67
256,3,6:18.0,,Offensive rebound by Team,63,67
257,3,6:18.0,A. Bargnani enters the game for J. Johnson,,63,67
258,3,6:18.0,S. Karasev enters the game for B. Lopez,,63,67
259,3,6:18.0,,R. Westbrook makes free throw 2 of 2,63,68
260,3,6:04.0,A. Bargnani misses 2-pt jump shot from 19 ft,,63,68
261,3,6:03.0,,Defensive rebound by S. Ibaka,63,68
262,3,5:53.0,,Personal foul by A. Bargnani (drawn by S. Adams),63,68
263,3,5:53.0,,D. Waiters enters the game for S. Adams,63,68
264,3,5:42.0,,R. Westbrook makes 2-pt jump shot from 18 ft,63,70
265,3,5:28.0,R. Hollis-Jefferson makes 2-pt jump shot from 21 ft (assist by J. Jack),,65,70
266,3,5:12.0,,D. Waiters misses 3-pt jump shot from 23 ft,65,70
267,3,5:11.0,Defensive rebound by T. Young,,65,70
268,3,5:01.0,J. Jack misses 2-pt jump shot from 10 ft,,65,70
269,3,5:01.0,,Defensive rebound by D. Waiters,65,70
270,3,4:57.0,,Turnover by D. Waiters (bad pass),65,70
271,3,4:43.0,T. Young makes 2-pt jump shot from 6 ft (assist by J. Jack),,67,70
272,3,4:28.0,,A. Roberson misses 2-pt jump shot from 3 ft (block by A. Bargnani),67,70
273,3,4:25.0,Defensive rebound by J. Jack,,67,70
274,3,4:12.0,S. Karasev misses 2-pt jump shot from 6 ft (block by K. Durant),,67,70
275,3,4:11.0,,Defensive rebound by K. Durant,67,70
276,3,4:05.0,,K. Durant misses 2-pt jump shot from 5 ft,67,70
277,3,4:04.0,Defensive rebound by A. Bargnani,,67,70
278,3,3:55.0,Personal block foul by D. Waiters (drawn by J. Jack),,67,70
279,3,3:48.0,A. Bargnani misses 2-pt jump shot from 12 ft (block by K. Durant),,67,70
280,3,3:47.0,,Defensive rebound by A. Roberson,67,70
281,3,3:37.0,,Shooting foul by R. Hollis-Jefferson (drawn by D. Waiters),67,70
282,3,3:37.0,,D. Waiters makes free throw 1 of 2,67,71
283,3,3:37.0,,D. Waiters makes free throw 2 of 2,67,72
284,3,3:23.0,A. Bargnani makes 2-pt jump shot from 12 ft (assist by T. Young),,69,72
285,3,3:08.0,,Shooting foul by A. Bargnani (drawn by S. Ibaka),69,72
286,3,3:08.0,,S. Ibaka makes free throw 1 of 2,69,73
287,3,3:08.0,B. Bogdanović enters the game for R. Hollis-Jefferson,,69,73
288,3,3:08.0,,S. Ibaka makes free throw 2 of 2,69,74
289,3,2:54.0,Turnover by T. Young (lost ball; steal by R. Westbrook),,69,74
290,3,2:49.0,,Personal foul by J. Jack (drawn by R. Westbrook),69,74
291,3,2:49.0,Brooklyn full timeout,,69,74
292,3,2:49.0,B. Lopez enters the game for A. Bargnani,,69,74
293,3,2:49.0,,R. Westbrook makes free throw 1 of 2,69,75
294,3,2:49.0,,S. Adams enters the game for S. Ibaka,69,75
295,3,2:49.0,S. Larkin enters the game for J. Jack,,69,75
296,3,2:49.0,,R. Westbrook makes free throw 2 of 2,69,76
297,3,2:32.0,S. Larkin makes 3-pt jump shot from 25 ft (assist by B. Lopez),,72,76
298,3,2:14.0,,K. Durant makes 3-pt jump shot from 24 ft,72,79
299,3,1:57.0,Shooting foul by S. Adams (drawn by B. Lopez),,72,79
300,3,1:57.0,B. Lopez makes free throw 1 of 2,,73,79
301,3,1:57.0,,D. Augustin enters the game for R. Westbrook,73,79
302,3,1:57.0,J. Johnson enters the game for T. Young,,73,79
303,3,1:57.0,B. Lopez makes free throw 2 of 2,,74,79
304,3,1:38.0,,Turnover by A. Roberson (lost ball),74,79
305,3,1:27.0,B. Lopez misses 2-pt hook shot from 12 ft,,74,79
306,3,1:27.0,,Defensive rebound by S. Adams,74,79
307,3,1:16.0,,D. Waiters makes 2-pt jump shot from 16 ft,74,81
308,3,0:58.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),,76,81
309,3,0:46.0,,D. Waiters makes 2-pt jump shot from 16 ft (assist by D. Augustin),76,83
310,3,0:28.0,Turnover by J. Johnson (lost ball; steal by A. Roberson),,76,83
311,3,0:27.0,,Turnover by A. Roberson (bad pass),76,83
312,3,0:04.0,Turnover by S. Larkin (lost ball; steal by A. Roberson),,76,83
313,4,11:46.0,,Turnover by D. Waiters (bad pass),76,83
314,4,11:31.0,S. Karasev misses 2-pt layup from 1 ft,,76,83
315,4,11:31.0,,Defensive rebound by E. Freedom,76,83
316,4,11:16.0,,E. Freedom misses 2-pt jump shot from 14 ft,76,83
317,4,11:16.0,Defensive rebound by S. Larkin,,76,83
318,4,11:01.0,S. Larkin makes 2-pt jump shot from 15 ft (assist by B. Lopez),,78,83
