,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
168,2,4:13.0,B. Lopez makes 2-pt jump shot from 19 ft (assist by S. Larkin),,46,45
169,2,3:56.0,,A. Jefferson misses 2-pt layup from 2 ft,46,45
170,2,3:55.0,Defensive rebound by T. Young,,46,45
171,2,3:46.0,B. Lopez misses 2-pt jump shot from 20 ft,,46,45
172,2,3:44.0,,Defensive rebound by N. Batum,46,45
173,2,3:36.0,,Shooting foul by R. Hollis-Jefferson (drawn by F. Kaminsky),46,45
174,2,3:36.0,,F. Kaminsky makes 2-pt jump shot from 1 ft (assist by N. Batum),46,47
175,2,3:36.0,T. Robinson enters the game for B. Lopez,,46,47
176,2,3:36.0,,F. Kaminsky makes free throw 1 of 1,46,48
177,2,3:17.0,J. Johnson misses 3-pt jump shot from 27 ft,,46,48
178,2,3:16.0,,Defensive rebound by K. Walker,46,48
179,2,2:58.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by A. Jefferson),46,51
180,2,2:46.0,S. Larkin makes 2-pt jump shot from 8 ft,,48,51
181,2,2:30.0,,A. Jefferson misses 2-pt layup from 1 ft,48,51
182,2,2:29.0,Defensive rebound by R. Hollis-Jefferson,,48,51
183,2,2:19.0,T. Robinson makes 2-pt jump shot from 6 ft (assist by S. Larkin),,50,51
184,2,1:52.0,,F. Kaminsky misses 2-pt jump shot from 7 ft,50,51
185,2,1:51.0,Defensive rebound by T. Robinson,,50,51
186,2,1:43.0,S. Larkin misses 2-pt jump shot from 22 ft,,50,51
187,2,1:41.0,,Defensive rebound by J. Lin,50,51
188,2,1:34.0,,Personal foul by T. Young (drawn by K. Walker),50,51
189,2,1:34.0,Official timeout,,50,51
190,2,1:34.0,,J. Lamb enters the game for K. Walker,50,51
191,2,1:28.0,,Turnover by N. Batum (bad pass; steal by R. Hollis-Jefferson),50,51
192,2,1:23.0,R. Hollis-Jefferson makes 2-pt dunk at rim,,52,51
193,2,1:09.0,,Personal foul by T. Robinson (drawn by A. Jefferson),52,51
194,2,1:09.0,,A. Jefferson misses free throw 1 of 2,52,51
195,2,1:09.0,,Offensive rebound by Team,52,51
196,2,1:09.0,,A. Jefferson makes free throw 2 of 2,52,52
197,2,0:48.0,T. Young makes 2-pt jump shot from 17 ft (assist by R. Hollis-Jefferson),,54,52
198,2,0:33.0,,J. Lin misses 3-pt jump shot from 25 ft,54,52
199,2,0:32.0,Defensive rebound by T. Young,,54,52
200,2,0:12.0,T. Robinson makes 2-pt jump shot from 11 ft (assist by S. Larkin),,56,52
201,2,0:03.0,,Offensive foul by J. Lin (drawn by S. Larkin),56,52
202,2,0:03.0,,Turnover by J. Lin (offensive foul),56,52
203,2,0:03.0,Brooklyn full timeout,,56,52
204,2,0:03.0,,M. Williams enters the game for J. Lamb,56,52
205,2,0:03.0,B. Lopez enters the game for R. Hollis-Jefferson,,56,52
206,2,0:03.0,W. Ellington enters the game for T. Robinson,,56,52
207,2,0:00.0,B. Lopez misses 2-pt jump shot from 17 ft,,56,52
208,2,0:00.0,Offensive rebound by Team,,56,52
209,3,11:46.0,,N. Batum makes 2-pt jump shot from 16 ft,56,54
210,3,11:33.0,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,,56,54
211,3,11:32.0,,Defensive rebound by C. Zeller,56,54
212,3,11:21.0,,A. Jefferson makes 2-pt jump shot from 16 ft (assist by K. Walker),56,56
213,3,11:08.0,J. Jack makes 2-pt jump shot from 7 ft,,58,56
214,3,10:58.0,,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum),58,56
215,3,10:58.0,,N. Batum makes free throw 1 of 2,58,57
216,3,10:58.0,,N. Batum makes free throw 2 of 2,58,58
217,3,10:43.0,B. Lopez makes 2-pt layup at rim (assist by J. Johnson),,60,58
218,3,10:26.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),60,61
219,3,10:06.0,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,,60,61
220,3,10:05.0,,Defensive rebound by A. Jefferson,60,61
221,3,9:55.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),60,64
222,3,9:37.0,Shooting foul by A. Jefferson (drawn by B. Lopez),,60,64
223,3,9:37.0,B. Lopez makes free throw 1 of 2,,61,64
224,3,9:37.0,B. Bogdanović enters the game for R. Hollis-Jefferson,,61,64
225,3,9:37.0,B. Lopez makes free throw 2 of 2,,62,64
226,3,9:15.0,,A. Jefferson misses 2-pt jump shot from 12 ft,62,64
227,3,9:13.0,Defensive rebound by B. Bogdanović,,62,64
228,3,9:04.0,Shooting foul by C. Zeller (drawn by T. Young),,62,64
